Project	Title	Abstract	Sequence Runs
SRP081949	Freshwater microbial communities from Trout Bog Lake, WI - 10SEP2007 hypolimnion metagenome	 	SRR4029389
SRP007091	Patterns of nucleotide misincorporations during enzymatic amplification and direct large-scale sequencing of ancient DNA.	Metagenomic sequence reads were derived from DNA extracted from a 43,000 old mammoth (Mammuthus primigenius) bone from Bol''shaya Kolopatkaya River in Russia.  Preliminary analysis found that 3% of these sequences align closest to elephant, indicating they are from the extinct mammmoth.  The rest of the sequences appear to be from prokaryotes that colonized the fossil.  DNA extracted from a 43,000 old mammoth (Mammuthus primigenius) bone from Bol''shaya Kolopatkaya River in Russia. Whereas evolutionary inferences derived from present-day DNA sequences are by necessity indirect, ancient DNA sequences provide a direct view of past genetic variants. However, base lesions that accumulate in DNA over time may cause nucleotide misincorporations when ancient DNA sequences are replicated. By repeated amplifications of mitochondrial DNA sequences from a large number of ancient wolf remains, we show that C/G-to-T/A transitions are the predominant type of such misincorporations. Using a massively parallel sequencing method that allows large numbers of single DNA strands to be sequenced, we show that modifications of C, as well as to a lesser extent of G, residues cause such misincorporations. Experiments where oligonucleotides containing modified bases are used as templates in amplification reactions suggest that both of these types of misincorporations can be caused by deamination of the template bases. New DNA sequencing methods in conjunction with knowledge of misincorporation processes have now, in principle, opened the way for the determination of complete genomes from organisms that became extinct during and after the last glaciation.	SRR257734
SRP106012	Wetland sediment microbial communities from St. Louis River estuary, USA, under dissolved organic matter induced mercury methylation - T0Bare1Fresh metagenome	 	SRR5494301
SRP034937	DNA and RNA viruses (virome) isolated from the feces of pigs	Analysis of the influence of the probiotics strain E. faecium on the pig virome	SRR1055974,SRR1055978
SRP103474	Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 122_LOW14 metagenome	Methane oxidation as a community function: Freshwater sediment methanotrophic sample from Lake Washington under simulated oxygen tension - Sediment Metagenome 122_LOW14	SRR5431582
SRP093083	Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC107_MetaG metagenome	Metagenomics of anaerobic wastewater microbial communities to study anthropogenic carbon cycling	SRR5007222
SRP075317	marine metatranscriptome	Studying depth dependent gene expression in the microbial community of the gulf of aqaba during thermal stratification	SRR3538718,SRR3538719,SRR3538720
SRP098119	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_restored_H2O_MG metagenome	Microbial community dynamics and restoration in a former industrial salt pond	SRR5210209
SRP106141	Ricasolia amplissima, raw sequence reads	The mitogenome of the lichenized fungus Ricasolia amplissima (Scop.) De Not. (Lobariaceae, Peltigerales) was assembled using massive parallel sequencing.	SRR5498932,SRR5498933,SRR5498934
SRP103061	Viral samples from river water and parsley Metagenome	Analysis of river water and parsley using a metagenomics approach to caracterize the viral species.	SRR5416890,SRR5416892
ERP010565	Characterization of biofoulants illustrates different membrane fouling mechanisms for aerobic and anaerobic membrane bioreactors	In this study, membrane performance and foulants characteristics were compared for both Aerobic Membrane Bioreactor (AeMBR) and Anaerobic Membrane Bioreactor (AnMBR). Both employed a similar reactor configuration and were operated at the same condition. Similar COD removal efficiencies were seen in both systems while fouling rates were higher in the AeMBR. The size distribution of Soluble Microbial Products (SMP) and Extracellular Polymeric Substances (EPS) in the AnMBR showed that a majority of the EPS fragments could be derived from the retained SMP fractions, suggesting that the major contributor to AnMBR membrane fouling was the physical retention of SMP components. Although more EPS was present on the AeMBR membranes than the AnMBR, SMP was not a main contributor to membrane fouling as all foulant fractions in AeMBR-SMP were totally permeated through the membrane. However, a larger amount of ATP was present in the AeMBR as compared to the AnMBR suggesting that the derivation of AeMBR-EPS may be from microbial activity of certain bacterial populations attached on the membrane, such as Comamonas and unclassified Chitinophagaceae. This study underlines the different fouling mechanisms associated with AeMBR and AnMBR and facilitates developing different strategies for fouling control in AeMBR and AnMBR.	ERR904490
SRP008060	Yersinia pestis study by K.Bos et al.	Study of Yersinia pestis from victims of the Black Death	SRR341965
SRP010813	Targeted Biofilm samples from two redox zones-LI09_3 Project	none provided	SRR405130,SRR405131
ERP022517	Enrichment of anaerobic nitrate-dependent methanotrophic Candidatus Methanoperedens nitroreducens archaea from an Italian paddy field soil	Paddy fields are a significant source of methane and contribute up to 20% of total methane emissions from wetland ecosystems. These inundated, anoxic soils featuring abundant nitrogen compounds and methane are an ideal niche for nitrate-dependent anaerobic methanotrophs. After 2 years of enrichment with a continuous supply of methane and nitrate as the sole electron donor and acceptor, a stable enrichment dominated by 'Candidatus Methanoperedens nitroreducens' archaea and 'Candidatus Methylomirabilis oxyfera' NC10 phylum bacteria was achieved. The results of qPCR quantification of 16S rRNA gene copies, analysis of metagenomic 16S rRNA reads,and fluorescence in situ hybridization (FISH) correlated well and showed that, after two years, 'Candidatus Methanoperedens nitroreducens' had the highest (2.2Â±0.4*108) 16S rRNA copies per mL and constituted approximately 22% of the total microbial community.Metagenomic sequencing by Ion Torrent Technology was carried out after one and two years of enrichment. Phylogenetic analysis showed that the 16S rRNA genes of the dominant microorganisms clustered with previously described 'Candidatus Methanoperedens nitroreducens ANME2D' (96% identity) and 'Candidatus Methylomirabilis oxyfera' (99% identity) strains. The pooled metagenomic sequences resulted in a high-quality draft genome assembly of 'Candidatus Methanoperedens nitroreducens Vercelli' that contained all key functional genes for the reverse methanogenesis pathway and nitrate reduction. The diagnostic mcrA gene was 96% similar to 'Candidatus Methanoperedens nitroreducens ANME2D' (WP_048089615.1) at the protein level.The 'Candidatus Methylomirabilis oxyfera' draft genome contained the marker genes pmoCAB, mdh, and nirS and putative NO dismutase genes. Whole-reactor anaerobic activity measurements with methane and nitrate revealed an average methane oxidation rate of 0.012 mmol h-1 L-1, with cell-specific methane oxidation rates up to 0.57 fmol cell-1 day-1 for 'Candidatus Methanoperedens nitroreducens'. In summary, this study describes the first enrichment and draft genome of methanotrophic archaea from paddy field soil, where these organisms can contribute significantly to the mitigation of methane emissions.	ERR1923790,ERR1923791
SRP103455	Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 106_HOW12 metagenome	Methane oxidation as a community function: Freshwater sediment methanotrophic sample from Lake Washington under simulated oxygen tension - Sediment Metagenome 106_HOW12	SRR5431168
SRP118550	Methane seep sediment microbial communities from Hydrate Ridge, Oregon to study methane oxidation - BONCAT_CE_3730-MDAH03UF metagenome	Sorting and sequencing of translationally active microbial consortia from methane seep sediment to study anaerobic oxidation of methane	SRR6058436
ERP016486	Impact of the Sample Type and DNA Isolation Procedure on Genomic Inference of Microbiome Composition	Explorations of complex microbiomes using genomics greatly enhance our understanding about their diversity, biogeography, and predicted function. The isolation of DNA from microbiome specimens is a key prerequisite for such examinations, but challenges remain in obtaining sufficient DNA quantities required for certain sequencing approaches, achieving accurate genomic inference of microbiome composition, and facilitating comparability of findings across specimen types and sequencing projects. These aspects are particularly relevant for the genomics-based global surveillance of infectious agents and antimicrobial resistance from different reservoirs. Here, we compare a total of eight DNA extraction procedures for three specimen types (human feces, pig feces, hospital sewage), assess DNA extraction using spike-in controls and different types of beads for bead-beating facilitating cell lysis. We evaluate DNA concentration, purity, and stability, and microbial community composition using 16S rRNA gene sequencing and for selected samples using shotgun metagenomic sequencing. Our results suggest that inferred community composition was dependent on inherent specimen properties as well as DNA extraction method. We further show that bead-beating or enzymatic treatment can increase the extraction of DNA from Gram-positive bacteria. Final DNA quantities could be increased by isolating DNA from a larger volume of cell lysate compared to standard protocols. Based on this insight, we have designed an improved DNA isolation procedure that can be used for the three examined specimen types and potentially also for other biological specimens.	ERR1543538,ERR1543541,ERR1543542,ERR1543545,ERR1543546,ERR1543547,ERR1543548,ERR1543549,ERR1543553,ERR1543554,ERR1543555,ERR1543559,ERR1543560,ERR1543561,ERR1543562,ERR1543563,ERR1543564,ERR1543565,ERR1543566,ERR1543567,ERR1543568,ERR1543569,ERR1543570,ERR1543571,ERR1543572,ERR1543573,ERR1543574,ERR1543575,ERR1543576,ERR1543577,ERR1543578,ERR1543579,ERR1543580,ERR1543581,ERR1543582,ERR1543583,ERR1543584,ERR1543585,ERR1543586,ERR1543587,ERR1543588
SRP044811	Transcriptome analysis across diverse biological species in the human gastric environment	We investigated the gastric flora in normal and diseased states by metatranscriptomic analysis of 15 cancer/non-cancer gastric tissues. Paired-end reads were mapped to our original database including genomes from 10660 species of plant, fungi, invertebrate, bacteria, virus and phages categories and each species was quantitatively assessed.	SRR1528455,SRR1531165,SRR1531166,SRR1531167,SRR1531168,SRR1531170,SRR1531171,SRR1531172,SRR1531173,SRR1531175,SRR1531176,SRR1531177,SRR1531178,SRR1531179,SRR1531181
SRP099953	Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBE05Oct08 metagenome	 	SRR5260689
SRP012152	Bioreactor inoculated with sediment Metagenome	Metagenomic contigs were binned following isolation from a continuous culture bioreactor inoculated with sediment from the German Wadden Sea.  Eight samples were taken from the bioreactor at different time points (between day 48 and day 185 of cultivation).	SRR490742,SRR490743,SRR490744,SRR490745,SRR490746,SRR490747,SRR490748,SRR490749
SRP100203	Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M1 S PM metagenome	 	SRR5270854
ERP002583	Metagenomic De Novo Assembly of an Aquatic Representative of the Verrucomicrobial Class Spartobacteria	The verrucomicrobial subdivision 2, class Spartobacteria, is one of the most abundant bacterial lineages in soil and has recently also been found ubiquitous in aquatic environments. A 16S rRNA gene study from samples spanning the entire salinity range of the Baltic Sea indicated that, in the pelagic brackish water, a phylotype of the Spartobacteria is one of the dominating bacteria during summer. Phylogenetic analyses of related 16S rRNA genes indicate that a purely aquatic lineage within the Spartobacteria exists. Since no aquatic representative from the Spartobacteria has been cultured or sequenced, the metabolic capacity and ecological role of this lineage are yet unknown. In this study, we reconstructed the genome and metabolic potential of the abundant Baltic Sea Spartobacteria phylotype by metagenomics. Binning of genome fragments by nucleotide composition and a self-organizing map recovered the near complete genome of the organism, the gene content of which suggests an aerobic heterotrophic metabolism. Notably, we found 23 glycoside hydrolases that likely allow the use of a variety of carbohydrates like cellulose, mannan, xylan, chitin, and starch as carbon sources. In addition, a complete pathway for sulfate utilization was found, indicating catabolic processing of sulfated polysaccharides, commonly found in aquatic phytoplankton. The high frequency of glycoside hydrolase genes implies an important role of this organism in the aquatic carbon cycle. Spatiotemporal data of the phylotypeÃ¢â‚¬â„¢s distribution within the Baltic Sea indicate a connection to Cyanobacteria that may hence be the main source of the polysaccharide substrates.	ERR274572
SRP000145	Viral community from low salinity saltern	Viral community collected November 10, 2005, from a "low" salinity saltern (32.599040, -117.107356) and sequenced at 454 Life Sciences.    454 sequence data is available from the Short Read Archive (SRA): <a href="ftp://ftp.ncbi.nih.gov/pub/TraceDB/ShortRead/SRA000426  ">SRA000426</a>.   Metagenomics SEED ID: 4440432.3  Nature paper ID: 16  The WGS project can be found using the Project data link.	SRR001053,SRR001054
SRP033553	Oral Microbiome	Microbiome associated with periodontal health and disease	SRR1044006,SRR1044017,SRR1044032,SRR1044033,SRR1044034,SRR1044035,SRR1045092,SRR1045093,SRR1045094,SRR1045095,SRR1045096,SRR1045097,SRR1045098,SRR1045099,SRR1045100,SRR2034637,SRR2034638,SRR2034640,SRR2037085,SRR2037087,SRR2037088,SRR2037089,SRR2037090,SRR2037091
SRP104943	Extremophilic microbial mat communities from Yellowstone National Park, USA - BED_Mat_virus_9_15 metagenome	Spatio-temporal functional profiling in model microbial communities	SRR5468443
SRP099900	Rice paddy soil microbial communities from Twitchell Island, California, USA - SF_Rice_25C_80N_302 metagenome	Metagenome from experimental rice fields on Twitchell Island, CA, USA to study carbon cycling. Soils were collected between rows of rice at the end of the growing season, just prior to water drawdown on August 16, 2013. Soil DNA was extracted from homogenized, composited cores. Soil sample is with 25% carbon and fertilized with 80 kg N/ha.	SRR5260275
SRP098132	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_A_H2O_MG metagenome	Microbial community dynamics and restoration in a former industrial salt pond	SRR5210317
SRP012454	Arabidopsis cpr5 old rhizosphere DNA Project	none provided	SRR490161
SRP081369	Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaG HF013 metagenome	 	SRR4022096
SRP080229	Arctic peat soil from Barrow, Alaska - NGEE Surface sample 210-2 shallow-072012 metagenome	 	SRR3985186
SRP107612	Reference soil microbial communities from the Hubbard Brook experimental Forest, New Hampshire, USA - Hubbard Brook CCASE Soil Metagenome REF2 metagenome	Reference soil with no treatment	SRR5580692
SRP104716	Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Spr_30_<0.8_DNA metagenome	Biogeochemical cycling links between terrestrial and marine systems	SRR5466259
ERP016615	Term and preterm shotgun samples	This study was approved by the University of East Anglia (UEA) Faculty of Medical and Health Sciences Ethics Committee, and sample collection was in accordance with protocols laid out by the NRES approved UEA Biorepository (Licence no: 11208). Infants were born at the Neonatal Intensive Care Unit (NICU) of the Norfolk and Norwich University Hospital (NNUH, Norwich, UK) and The Rosie Hospital (Cambridge, UK) were recruited by doctors or nurses with informed and written consent obtained from parents.  Both NICUs have similar protocols for feeding, prescription of antibiotics, and antifungal drugs with the exception that NNUH administered a probiotic treatment containing Bifidobacterium bifidum and Lactobacillus acidophilus (i.e. InfloranÂ®) to their infants from birth.	ERR1549320,ERR1549321,ERR1549323
ERP009429	Optimizing protocols for extraction of bacteriophages prior to metagenomic analyses of phage communities in the human gut	Background: The human gut is densely populated with archaea, eukaryotes, bacteria and their viruses, such as bacteriophages, that play also a prominent role. Recent advances in high-throughput sequencing (HTS) as well as bioinformatics have opened new opportunities for characterizing the viral communities harbored in our gut. However, limited attention has communities prior to HTS and their impact on the metagenomic dataset.  Results: We describe two optimized methods for extraction of phages from fecal samples based on tangential-flow filtration (TFF) and polyethylene glycol precipitation (PEG) approaches using an adapted method from a published protocol as control (LIT). To quantify phage recovery, samples were spiked with c2, ?29 and T4 phages (representatives of the Siphoviridae, Podoviridae and Myoviridae families, respectively) and their concentration (determined as plaque forming units, PFU) followed at every step during the extraction procedure. Compared with LIT, TFF and PEG had higher recovery rates of all spiked phages, yielding up to 16 times more phage particles (PPs) and up to 68 times more phage DNA per volume. By improving phage extraction, the metagenomic dataset showed a 10% increase in relative distribution of Caudovirales and unclassified phages infecting gut-associated bacteria  (<92% for TFF and PEG; while 82.4% for LIT). TFF and PEG methods obtained a lower relative abundance of the Myoviridae family (>16%) as compared to the reference protocol (27%). This latter decline, however, was not considered as Myophages loss, but rather an increase in the abundance of Siphophages (TFF and PEG: <36.8%, LIT: 28.4%), whose greater extraction, was achieved through to the enhanced filtration conditions of our procedures (e.g. reduction of filter clogging). Conclusion: Two procedures for extraction of bacteriophages from fecal samples, relaying on two well known laboratory techniques such as TFF and PEG, were optimized and standardized using a set of spiked bacteriophages as process control. These optimized procedures proved to be highly efficient and robust tools for extraction and purification of PPs that are suitable for quantification, high-throughput sequencing and further phageome studies.	ERR748826
SRP044188	Fungi of the healthy and immunocompromised human airway:  enhanced stringency analysis for taxon identification reveals covariation with bacterial populations	Background: Fungi are important pathogens but challenging to enumerate using next-generation sequencing data because of low absolute abundance in many samples and high levels of fungal DNA from contaminating sources. Results: Here we analyzed fungal lineages present in the human airway using an improved method for contamination filtering.  We compared fungal communities and bacterial communities from healthy subjects, HIV+ subjects, and lung transplant recipients, providing a gradient of increasing lung impairment for comparison.  We used deep sequencing to characterize ribosomal rRNA gene segments from fungi (ITS amplicon) and bacteria (16S amplicon) in DNA extracted from bronchiolar lavage samples (n=89) and oropharyngeal wash (n=36).  We introduce the use of DNA quantification data, which is routinely acquired during DNA library preparation, to annotate sequencing data and improve the identification and filtering of the contamination background. Conclusions: Using the abundance-weighted method, we quantified fungi authentically present in samples, showing increased representation of medically relevant organisms, including Candida, Cryptococcus, and Aspergillus, in the subjects with increasingly severe pulmonary and immunologic deficits.  We analyzed covariation of fungal and bacterial taxa, and found that oropharyngeal communities rich in Candida were also enriched in mitis group Streptococci, a community pattern associated with pathogenic polymicrobial biofilms. Thus, using this approach, it is possible to identify and characterize fungal communities in the human respiratory tract more accurately and explore their linkage to bacterial communities and to disease.	SRR1510568,SRR1510569,SRR1510570,SRR1510571,SRR1510673,SRR1510709,SRR1510712,SRR1510715,SRR1510717,SRR1510722
SRP077513	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - February 2009 P26 500m metagenome	 	SRR3726289
SRP013381	Rifle Sediment Metagenome	The objective of the research at the Rifle site is to gain a comprehensive and mechanistic understanding of the microbial factors and associated geochemistry controlling uranium mobility at the field scale so that DOE can confidently remediate uranium plumes as well as support stewardship of uranium-contaminated sites.	SRR500735,SRR944699
SRP064633	Pseudomonas aeruginosa, Echerichia coli, Mycobacterium tuberculosis, and uncultivated soil bacterium Raw sequence reads and de novo assembled draft genomes	We developed a microfluidic device that processes bacterial samples in the order of 10^3 cells or picograms of genomic DNA into whole genome shotgun sequencing libraries. Four different sample types processed with our micro-device and sequenced on the HiSeq 2500 platform (2 x 125 & 2 x 101) are uploaded: 1) 124 50-picogram genomic DNA input clinical isolates of Pseudomonas aeruginosa from six patients collected at Brigham and Women's hospital (Boston, USA), 2) 36 1,000-cell input Escherichia coli BL21-DE3 3) 18 10,000-cell input Mycobacterium tuberculosis OFXR-14 and OFXR-16, and 4) 14 10,000 to 100,000-cells from soil micro-colonies cultured using the iChip. The clinical Pseudomonas samples were discard samples where the connection with the patient metadata has been lost. These samples were collected through four different collection methods (BAL, sputum, urine, thoracostomy). The soil micro-colonies were from a Boston private garden	SRR3591642,SRR3591646,SRR3591649,SRR3591651
SRP099228	Alexandrium tamarense modeled microbial communities from the University of Georgia, USA - dinoflagellate/eukaryote hkISM B metatranscriptome	 	SRR5245156,SRR5245652
SRP049520	Arctic permafrost Metagenome	Microorganisms in Arctic permafrost retain viability for thousands and millions of years. Particular interest arouses the deposits which not thawed during the Holocene optimum on the North-East Siberia. It is considered as potential pool of buried organic carbon and greenhouse gases. The study reports metagenomic shotgun sequencing of the two permafrost samples of different origin and the very similar age.	SRR1653578,SRR1653579
SRP080145	Forest soil microbial communities from El Dorado National Forest, California, USA - Mediterranean Blodgett CA OM3_M3 metagenome	 	SRR3979411,SRR3979412,SRR4030081
SRP108896	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE PermafrostAB12-B metagenome	Next Generation Ecosystem Experiment (NGEE) in the arctic	SRR5664280
SRP100234	Hypersaline microbial mat communities from Hot Lake, Washington, USA - Hot Lake Consortium UCC-R28 metagenome	 	SRR5271179,SRR5271180,SRR5271181,SRR5271182,SRR5271183,SRR5817583
SRP069344	marine metagenome Genome sequencing and assembly	Marine microorganisms derive energy and carbon from the degradation of hydrocarbons in oil, which aids in the bioremediation process during anthropogenic oil spills, such as during the Deepwater Horizon (DWH) spill. Our knowledge of the underlying degradation pathways is mostly limited to a few cultured bacteria. Our research goal is to identify active hydrocarbon-degrading bacteria and resolve the metabolic potential of these uncultured bacteria. Therefore, we performed metagenomic sequencing on SIP-DNA samples from sea surface and plume samples from the Gulf of Mexico collected during the DWH oil spill in 2010. Plume and sea surface samples were separately exposed with heavy labeled n-hexadecane (HEX) as well as naphthalene (NAP) and phenanthrene (PHE) in stable isotope probing (SIP) experiments.	SRR3170059,SRR3170529,SRR3171140,SRR3171726,SRR3171782
SRP080263	Arctic peat soil from Barrow, Alaska - NGEE Surface sample F53-2 shallow-092012 metagenome	 	SRR3985526
SRP021521	Metagenomic analysis of mouse fecal viromes	Metagenomic analysis of mouse fecal viromes to survey the effects of antibiotic treatment.	SRR847417,SRR849004,SRR849005,SRR849007
SRP062454	CH4 generation Metagenome	CH4 generation	SRR2167396,SRR2167431,SRR2167457,SRR2167458
SRP117870	Cellulose-adapted microbial communities from the Joint BioEnergy Institute, USA - Passage B1F07 metagenome	Comparative metagneomics of mesophilic and thermophilic cellulose-adapted consortia	SRR6048155
SRP080277	Freshwater microbial communities from Lake Mendota, WI - 26JUN2009 deep hole epilimnion metagenome	 	SRR3985706
SRP080432	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G10A3-12 metagenome	 	SRR3988848
DRP001190	Virus Screening of SB	Identify unrecognized viruses.	DRR013998
SRP097955	Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP MS_1300(2)_T MetaT metatranscriptome	Metagenomic and metatranscriptomic analysis of anoxygenic, chlorophototrophic microbial mat communities in Yellowstone National Park	SRR5207999,SRR5208000
ERP012786	Metagenomic data from 12 aquaria for determination of the minimal selective concentration of tetracycline in complex communities	Selection pressure of antibiotics released into the environment could enrich for antibiotic resistance genes and antibiotic resistant bacteria, thus, increasing the risk for their transmission to humans and animals. Tetracyclines comprise an antibiotic class of importance to both human and animal health, and residues of tetracycline are commonly detected in aquatic environments. To assess if environmental pollution of tetracycline promotes development of resistance, we determined minimal selective concentrations (MSCs) in biofilms of complex aquatic bacterial communities using both phenotypic and genotypic assays.  Taxonomic analyses of the biofilm communities suggested that composition was altered with increasing tetracycline concentrations. Metagenomic analysis revealed a concurrent increase of several tet genes and a range of other genes providing resistance to other classes of antibiotics, indicating co-selection potential. The methodology used here to assess MSCs could be applied in risk assessment of other antibiotics as well.	ERR1078373,ERR1078374,ERR1078375,ERR1078376,ERR1078377,ERR1078378,ERR1078379,ERR1078380,ERR1078381,ERR1078382,ERR1078383,ERR1078384
SRP103244	Bulk soil microbial communities from Harvard Forest, USA - 4Bulk_unsorted metaG metagenome	 	SRR5428012
SRP015679	S1 Transcriptome or Gene expression	S1	SRR566687,SRR566688
SRP030479	SPRUCE microbial community Metagenome	Carbon cycle in the boreal peatland	SRR1157607,SRR1157608,SRR1157609,SRR1157614,SRR1157615,SRR1157616,SRR1157617
SRP043007	H215_25 and 500m Metagenome	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	SRR1303832
SRP081968	Freshwater microbial communities from Trout Bog Lake, WI - 29JUL2008 hypolimnion metagenome	 	SRR4029408
SRP098058	Groundwater microbial communities from the Columbia River, Washington, USA - GW-RW N1_20_30 metagenome	Coupling Microbial Communities to Carbon and Contaminant Biogeochemistry in the Groundwater-Surface Water Interaction Zone	SRR5209143
ERP005249	Metagenome sequencing of biogas plant operating wet fermentation	Metagenome sequencing of biogas plant operating wet fermentation	ERR454984,ERR454985
SRP105915	Thawing permafrost microbial communities from the Arctic, studying carbon transformations - Permafrost 812P2M metagenome	 	SRR5493776
SRP010754	Baltic Sea site KBA sample SWE 07_21m Project	none provided	SRR404242
ERP010084	Similar patterns of fungal community dynamics in relation to wood decay of two contrasting tree species: an experimental common garden approach	In this study we make use of high within-site replication to study the first two years of decomposition of two contrasting tree species (deciduous and coniferous) in a common garden approach. This approach allows investigating the relation between wood traits, decomposer fungal communities and decay rates while minimizing the effects of abiotic environmental variation.	ERR843159
ERP004012	metagenome of aerobic and anaerobic slice of north sea sediment at oystergrounds in scope of Nicycle programme	metagenome of aerobic and anaerobic slice of north sea sediment at oystergrounds in scope of Nicycle programme focussing on nitrifying microbial community. Especially on interaction between bacterial and archaeal nitrifyers in different marine environments.	ERR351212,ERR351213
SRP093078	Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC119_MetaG metagenome	Metagenomics of anaerobic wastewater microbial communities to study anthropogenic carbon cycling	SRR5007151
SRP081894	Freshwater microbial communities from Trout Bog Lake, WI - 09AUG2007 epilimnion metagenome	 	SRR4029085
SRP080175	Forest soil microbial communities from Browns Valley, California, USA, that are Nitrogen fertilized - NN102 metagenome	 	SRR3982750,SRR3982751
SRP106382	Marine microbial and viral communities from oxygen minimum zone, Eastern Pacific Ocean - ETNP201302PF86A metagenome	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones: Oceanic sample ETNP201302PF86A	SRR5506551
ERP009522	Denovo test of eDNA sample	In this study we are going to establish the analyses of eDNA from sea water to identify macrofauna species from the North Sea.Instead of targeting single genes of taxa, we aim to sequence total DNA extracts. As a consequence, we expect to catch more diversity and to reduce the loss of information caused by unregularly binding of group specific primers.	ERR754624
ERP019513	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	Background: Bread is consumed by billions of people daily but evidence regarding the effect of different types of bread on clinical parameters is contradicting. In addition, the effect of bread consumption on the microbiome, an important effector of metabolic health, has not been extensively studied. Methods and Findings: We recruited 20 healthy human subjects and performed a 2x2 randomized crossover trial with baseline measurements of two one-week-long dietary interventions. In both interventions subjects consumed a single type of bread and refrained from consuming other wheat products. Consumed bread included industrial white bread made from refined wheat in one intervention, and sourdough leavened bread made with traditional methods from whole-grain wheat in the other. We found no significant differences in the effects of the different types of breads on multiple clinical parameters. In contrast, a one-week long dietary intervention of bread consumption, regardless of its type, resulted in numerous statistically significant changes, including an increase in LDH levels and a reduction of cholesterol, liver enzymes, creatinine, CRP, magnesium, and iron levels. Notably, despite its marked clinical phenotypic effect, bread consumption did not significantly alter the gut microbiome species composition, but it did induce several statistically significant and consistent changes in the abundance of genes from distinct microbial metabolic pathways. Metabolic pathways that increased following short-term bread consumption have elevated abundance in long-term bread consumers, suggesting that the effect of a short-term dietary change on the microbiome may persist in individuals that maintain the dietary change. Finally, using a statistically rigorous framework we found that our study subjects exhibited high interpersonal variability in their postprandial glycemic responses to the different bread types. Conclusions: We detected no difference between wholegrain sourdough and industrial white breads used in this study in their effects on multiple clinical parameters. Conversely, we showed that even a week long consumption of bread, irrespective of its type, induces changes to multiple clinical variables and risk factors. Our study shows that the microbiome species composition is resilient even to significant dietary interventions, but suggests that changes in microbial metabolic pathways induced by short-term interventions are retained in long-term bread consumers. The personalized postprandial glycemic responses to different bread types that we detected across subjects may partly explain the lack of differential effects between bread types and the contradicting evidence regarding the effects of different bread types in previous studies.	ERR1999767,ERR1999768,ERR1999769,ERR1999770,ERR1999771,ERR1999772,ERR1999773,ERR1999774,ERR1999775,ERR1999776,ERR1999777,ERR1999778,ERR1999779,ERR1999780,ERR1999781,ERR1999782,ERR1999783,ERR1999784,ERR1999785,ERR1999786,ERR1999787,ERR1999788,ERR1999789,ERR1999790,ERR1999791,ERR1999792,ERR1999793,ERR1999794,ERR1999795,ERR1999796,ERR1999797,ERR1999798,ERR1999799,ERR1999800,ERR1999801,ERR1999802,ERR1999803,ERR1999804,ERR1999805,ERR1999806,ERR1999807,ERR1999808,ERR1999809,ERR1999810,ERR1999811,ERR1999812,ERR1999813,ERR1999814,ERR1999815,ERR1999816,ERR1999817,ERR1999818,ERR1999819,ERR1999820,ERR1999821,ERR1999822,ERR1999823,ERR1999824,ERR1999825,ERR1999826,ERR1999827,ERR1999828,ERR1999829,ERR1999830,ERR1999831,ERR1999832,ERR1999833,ERR1999834,ERR1999835,ERR1999836,ERR1999837,ERR1999838,ERR1999839,ERR1999840,ERR1999841,ERR1999842,ERR1999843,ERR1999844
SRP080034	Marine microbial communities from the Deep Pacific Ocean - MP1494 metagenome	 	SRR3962680
SRP100011	Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBH25Aug08 metagenome	 	SRR5261040
SRP099302	Marine viral communities from the Pacific Ocean - LP-40 metagenome	 	SRR5247224
SRP099940	Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBE27Jul09 metagenome	 	SRR5260655
